uniqueID,drugName,condition,review,rating,date,usefulCount
131683,Effexor XR,Depression,"""Sadly only lasted 5 days on Effexor XR. The side effects from the 75mg dose was unlike anything I have experienced before. Within 10 hours of the first dose I had severe anxiety - something I had never experienced before. Within hours of second dose the extreme nausea came on. By day 3 I was pratically bed-ridden in cold sweats and feeling completely &quot;out of it&quot; . I persevered hoping the effects would begin to subside but by the 5th day I had severe nausea, couldn&#039;t get out of bed from feeling so sick, horrible tinnitus (ringing in the ears) and felt spaced out to the point that I began to wonder if I would ever feel &quot;normal&quot; again. Advised by GP to cease immediately on hearing my side effects.""",1,24-Apr-16,18
188604,ParaGard,Birth Control,"""I had paragard for a year and a half and had cramping the whole time with terrible long heavy periods.  The last couple months I had it I was in so much pain I could hardly walk. Went to my doc and she said nothing seemed wrong.  Then the next day I went to the ER and had it removed. It had slipped a little and was causing a lot of discomfort. I will never get an IUD again. I&#039;m lucky I didn&#039;t need surgery like some women""",1,29-Jan-16,4
104580,Ethinyl estradiol / levonorgestrel,Birth Control,"""I just started taking this birth control about 12 days ago when I started my period, and I&#039;m still bleeding as if I&#039;m still on my period. The flow is light however the length of my average period is 2 weeks when I wasn&#039;t on birth control. So maybe the medication is altering my system %u2026I do feel nauseous and I crave like crazy. I do feel a little depressed because my period isn&#039;t gone yet but overall it 
seems to be a good birth control so far. """,9,16-Jul-11,4
26989,Ultram,Pain,"""I have severe scar tissue and adhesions from mutiple surgeries and the pain was intense it is in my pelvic area. I fill like I&#039;m having a bad cycle every day and walking intensifies the pain this is a every day feeling. My doctor tried me on Ultram and it has been a God send. I take it three times a day. Without it it would be hard to walk so I give it a 10 thank you.""",10,24-Feb-12,36
122089,Venlafaxine,Depression,"""I was first prescribed Effexor 13 years ago and was taking 225 mg. I was on it for a few years and stopped taking when I was pregnant with my first child. I was put on Paxil (gained so much weight) and then Zoloft. I took the Zoloft off and on for years until it just wasn&#039;t working for me anymore. I was then put on Welbutrin while still taking 25mg of Zoloft. I quit smoking (had no desire to smoke) but then became suicidal. My doctor then put me back on Effexor and I currently only take 75 mg. I feel amazing. Yeah the side effects are bad, I&#039;ve gained weight (lost weight the first time I was on it), have sexual side effects, and get quite shaky/jittery if I&#039;m late on a dose. But I&#039;m finally the mom I&#039;ve always wanted to be.""",8,13-Dec-10,36
120889,Venlafaxine,Depression,"""I took Effexor for the first and last time yesterday around 7:41 am . At first I couldn&#039;t feel my arms or face and then it felt like fire works were going off in my head . I yawned all day long and each time I did I felt like my own tongue was gagging me . The worst of it was around 3:45 am I woke up shaking uncontrollably falling over couldn&#039;t see straight it felt like I was being electrocuted it was to the point I either wanted to be knocked out or die . My husband found me shaking and rocking back and forth in our living room floor . This drug for me personally was horrific .""",1,12-Oct-17,5
204427,BuSpar,Anxiety,"""I did not like this medication. For anxiety, I have also tried Hydroxyzine (Atarax). I guess this is just my personal body chemistry but I actually prefer Atarax to this unlike most people. This made me VERY lightheaded and dizzy. I can&#039;t exactly remember the effect it had on anxiety, I think it may have helped a little.""",4,13-Sep-15,17
58200,Acetaminophen / hydrocodone,Pain,"""Was very beneficial when taken with a muscle relaxer for extreme pain in neck and arm. I was also taking Naproxen.""",8,20-Oct-08,21
147575,Aviane,Birth Control,"""I read so many bad experiences and horror stories about this pill, I was terrified. I am now on my second week of Aviane and have no symptoms.""",10,11-Jan-11,9
107660,Implanon,Birth Control,"""I&#039;m on my second implant. The first was brilliant had hardly any periods, just a tiny bit of spotting. A year ago I had my first removed after 3 attempts at finding it, it was eventually removed after a scan. My second has been completely different. After about 6 months I&#039;ve started having light periods or spotting which hasn&#039;t ceased in the last 2 months. If no improvement I may consider removal.""",5,9-Jul-10,1
129438,Levonorgestrel,Birth Control,"""This is the third day I&#039;ve had skyla and so far my experience has been excellent. I&#039;d suggest taking ibuprofen all throughout the day and put a heating pad on your stomach (what i did). The procedure was uncomfortable and painful (i cried) but so far, extremely worth it. The day after I got it the bleeding significantly reduced, and today it&#039;s hardly bleeding. First day was the worst but definitely doable. As far as being emotional. The first day I was very irritable but I&#039;m assuming it was because I was hurting and hungry all day. Other than that I&#039;ve been great!""",10,26-Aug-15,1
58280,Acetaminophen / hydrocodone,Pain,"""I have been prescribed Vicodin 5/500s for over a year due to chronic headaches from a severe sinus problem.  

They work great.  However you have to be careful.  You will build a tolerance over time and need more of them to have the same analgesic effect.

Secondly they are habit forming.  If you are on them for a long time and need to use them often, as I have, you will most likely become addicted.  As I have.""",9,16-Apr-08,15
128928,Levonorgestrel,Birth Control,"""I went in to have my Skyla placed yesterday morning. After reading all of these reviews I was hyperventilating and crying on my way there, bc I did not want to experience &quot;the worst pain of my life&quot;. However, it was a complete waste of tears and energy. Before the procedure, I started doing heavy breathing, similar to pregnancy breaths, bc I was so nervous and I can tell you I felt NOTHING. There was a little bit of pressure, but nothing compared to what I&#039;ve read on here. Probably a 2/10. It was over in 30 seconds, and as soon as she was done, the pressure vanished. I was shocked. I went to work from 5:45-11:30, &amp; I managed with mild cramping.I cant speak for long term yet, but don&#039;t let other women scare you out of this, its very worth it!""",10,12-Dec-15,0
85618,Ethinyl estradiol / norgestimate,Birth Control,"""I&#039;d never been on birth control up until a few months ago, and I was given Ortho Tri-Cyclen Lo as a starter, because I did not want it to have much hormones. I went through two whole packs and decided to switch because of extremely low sex drive, extreme mood swings and increased appetite (I would eat a full meal and two hours later my stomach would be growling again). My relationship began to suffer due to these side effects so I stopped taking it and am back to normal. However, this pill DID have pros: I didn&#039;t get pregnant, it regulated my period and caused no breakouts or acne. But be wary of weight gain, decreased libido and mood swings.""",4,20-Jul-14,35
9723,Lo Loestrin Fe,Birth Control,"""BC from below. Rapid weight gain, swelling and bad cycle. Don&#039;t recommend""",1,2-Oct-15,3
215685,Copper,Birth Control,"""I just got the copper IUD removed after having it for 7 months. I am normally a really positive person with a happy demeanor and I am convinced that the copper IUD threw me into depression and anxiety. I have NEVER had depression or anxiety, and every month my moods got worse, I would cry almost everyday, I would snap at my bf or family for the smallest thing, and I felt rage almost all the time. I was trying to figure out if something else in my life was affecting me, I even went to my therapist and a depression care specialist. I finally read some reviews on the copper IUD and depression and it seems pretty common. Drs will tell you it&#039;s not the IUD but please trust your intuition. I also had yeast infection &amp; BV almost every month because of IUD.""",5,11-Apr-17,6
224823,Bupropion,Depression,"""Started taking it and I slept well at night and awoke early around 5 to start my day happily. But come 8 am and I am drowsy and needed to take already two hrs nap. Awake and resume
My day with not much difficulties. Than st 2 pm again I needed  a nap? So how was I gonna make it to work and my appointments too ? I went cold turkey. Felt much better after that. Only to crash again. I did try other anti depressants including pristique. But I suffered with insomnia with these meds.  I know I need to start again but so confused if I should resume welbutrin""",4,13-Jan-17,15
81226,Yaz,Birth Control,"""Switched from my old BC to yaz and immediately felt a difference the first few days I was SO  emotional. VERY significantly so. By the end of the first week I was full on depressed and it continued on to the second week. Everything triggered me. :(  but I like the sticker on the top with the days.""",2,4-Dec-16,4
215782,Copper,Birth Control,"""I have had my Paragard for one year, and it&#039;s been great! Insertion was not pleasant, but it only lasts a moment and now it&#039;s nothing but a distant memory. My periods were heavier and my cramps more severe for the first three months, but after that they returned to nearly the same as before. So many people wrote about their terrible experiences that reading up almost stopped me from doing it, and now I&#039;m so glad I got it anyway. Just remember that those who had a negative experience are more likely to post about it, so there&#039;s a bias! It&#039;s also totally possible that it will go just fine and be a fantastic BC method. Don&#039;t be too afraid to try it and see if it&#039;s right for you, you can always take it out if it&#039;s not.""",10,17-Nov-16,24
168177,Jolessa,Birth Control,"""I love Jolessa. I have no periods for three months and little to no side effects. I was on Depo for eleven years and due to insurance changes had to change to the pill.""",9,19-Jul-09,5
189728,Oxycodone,Pain,"""In 2000 I had 4 surgeries to repair an anal fistula.  The surgeries were successful in that they did repair the fistula but they also left me in severe chronic pain.  Pain in the rectum area is very difficult to treat.  I&#039;ve been to numerous doctors in Columbus, where I live and only 2 were willing to prescribe Oxycontin.  When I was taking the Oxycontin the pain was much better and I could actually sit down at a desk and do a job.  Then the last doctor took me off because I&#039;d been taking them for so long and now I can&#039;t find a doctor to prescribe them again.  Consequently I&#039;m back to suffering with terrible pain because doctors are afraid to prescribe Oxcontin in Ohio unless the patient has cancer, which I don&#039;t.""",10,10-Sep-08,60
108899,Nexplanon,Birth Control,"""I had the implant placed a little over 1 month ago. After about a week I started breaking out with acne. I feel extremely irritable, emotional, and have extreme insomnia. I keep getting the chills but it&#039;s been 80 degrees outside for weeks. I&#039;m a fit person, but I&#039;ve started having unexplained joint pain. I&#039;m so exhausted.. I was really hoping this birth control method was going to be the best choice for me. I never remembered to take the pill, I had frequent infections with the IUD because my body didn&#039;t like the strings/foreign body in there. I&#039;m hoping these side effects will gradually lessen or go away because it&#039;s really effecting my quality of life. I&#039;m going to try to give it a few more months..""",3,4-Jul-17,2
224904,Bupropion,Depression,"""So my journey has been two years with depression/anxiety.  Had two bouts prior.... the first coming out of nowhere around age 40.  The two times I went on a Paxil and in 30 days I was normal.  You can only imagine my disbelief when this third bout trying Lexapro, Effexor and Paxil lead to horrible fatigue within a week of each.  I just couldn&#039;t tolerate the fatigue and there was no relief.  Incredible.  Went on 100 mg of Wellbutrin despite it increasing my anxiety... requiring Lorazepam.   For past year I couldn&#039;t tolerate more than 100 mg of W. w/o terrible fatigue.   A year later I just got up to 150 mg without fatigue... no relief of depression yet.  Also in therapy.  Wellbutrin is better than nothing I guess.  Not sure what&#039;s next.""",5,4-Sep-16,11
6760,Beyaz,Acne,"""I have been taking Beyaz for exactly a month now and my acne has cleared up so much! I have always had really bad skin and It has made it flawless! It is amazing! I love Beyaz!""",10,14-Aug-12,12
9695,Lo Loestrin Fe,Birth Control,"""Ive been on this pill for 9 months now and I love it! I have severe migraines so it is hard to find a birth control that doesnt make them 10x worse. My migraines have almost disappeared since I started this pill! Also, I had one period upon starting the pills and I havent had one since. In the beginning of my trial, I did go through some changes. I was moody all the time, my breasts stayed sore to the extent that I could hardly move around. Other than that, I had no issues. I havent had any weight changes, acne changes or anything like that. My body returned to better than normal after maybe three months. Mood changes disappeared, no period, no cramps, no soreness. Overall I am satisfied!""",10,10-Sep-15,10
44179,Ethinyl estradiol / norgestimate,Birth Control,"""I&#039;ve been on Sprintec for two months now and my doctor had told me that if I wanted to skip my period I could just skip over the white and jump right into the next pack. So after deciding to do so I&#039;ve been bleeding for the past week now unexpectedly throughout the day. I have never had acne before but now that I&#039;ve been on Sprintec my forehead has been spotting. Also my breasts have become larger I believe but sore to touch almost everyday. I have gained about 10lbs from it, and my sex drive is gone about halfway through activity. And I&#039;ve also been feeling bloated. I&#039;m not totally  satisfied with the product but not totally dissatisfied since it obviously works. Debating going off it though.""",5,7-Aug-11,2
65334,Yasmin,Acne,"""Love this pill. Went on it and cleared my skin, but I didn&#039;t know that Yasmin was clearing it I thought it was just the fact I was no longer a teenager. Stopped taking this pill to get an implant to avoid periods. Well, it was hell, acne came back full blown and periods were relentless. Went back to the doctor today and got Yasmin again! So excited for clear skin again!""",10,8-Feb-16,21
201017,Zoloft,Depression,"""I was on this medication for about 2 months and it was an awful experience. I started out on 25mg and I couldn&#039;t really feel any emotions, so they increased the dosage to 50mg. I started feeling worse, so I was told to increase the dosage again. Once I got to 75mg, I started becoming angry, even more anxious than I was before, I had an out-of-body experience, and I was becoming incredibly impulsive. After trying another anti-depressant and failing, it is believed that I have a mood disorder and was placed on mood stabilizers.""",2,28-Jun-17,14
204311,BuSpar,Anxiety,"""I&#039;m a 32 year old male and I&#039;ve been taking buspar for about 10 months. At first it did nothing but make my anxiety worse. I would wake up with to full blown panic attacks and have the worse nightmares ever. However I&#039;m now taking 40mg of citaloptam a day mixed with the buspar 15mg and 1mg of xanax twice a day. And Zanax! I have  insomnia mixed with with deep anxiety issues. The problem that I have is the buspar makes me so fat! I&#039;m literally considering stop taking it and just see of the other meds can help. Buspar Alone is no  substitution for anxiety drug and wouldn&#039;t recommend it...""",3,31-Dec-16,21
167965,Kariva,Birth Control,"""I&#039;ve been on Kariva for 5 months now, and am looking to switch. I get my period the third week of pills for several days, and then again the fourth week as a full period. Both sets of periods I get come with cramps, bloating (and several pounds of weight gain, which disappears once my period is over), and moodiness. When I asked my doctor to switch initially, she suggested I wait several months, as sometimes these effects subside, but mine have not.""",6,17-Nov-09,4
140925,Escitalopram,Depression,"""Very good for GAD mixed with depression. I felt worse for 2 months but then felt amazing :) give it a chance""",10,21-Dec-15,63
15168,Ethinyl estradiol / norethindrone,Birth Control,"""I&#039;ve been on this birth control for a year and I have to say that it&#039;s very practical for my body. I used to get brutal cramps and long periods. No matter what type of birth control I had debilitating cramps. Lolo has caused my cramps to stop and my period is consistent and lasts 2 days. Only downside is I did get some acne, but the acne may be just due to something else since I&#039;ve dealt with breakouts prior to trying lolo. Also my boobs grew a lot which I&#039;m happy about. This medication is not for everyone, if you experience adverse effects stop taking it immediately as it does not agree with every woman.""",8,18-May-17,6
72043,Tramadol,Pain,"""This medication does not relieve eve the slightest pain.""",1,2-Jun-15,18
53685,Tylenol with Codeine #3,Pain,"""After I was discharged from intensive care, I reported no pain, and no pain killers were given previously. After given Tylenol 3 in liquid form, and I started to experience pain with an extra large headache. The pain was in my eyes, temples, and ears not to mention throat. I got cold and my legs started to shake. Then I experienced more swelling in my throat than before, but I thought that this was post op normal. After the second dose I started to panic quietly inside and I couldn&#039;t get liquid Advil out of my mind! The nurse only had tablets, so my husband arrived and rushed me to the pharmacy to get some Chldrens liquid Advil, and 30 minutes later I was pain free! I&#039;m not touching my prescription for Tylenol 3 and will tell the doc ASAP.""",1,18-Apr-17,2
230576,Depo-Provera,Birth Control,"""I have been getting the shot since having my 3rd baby 17 months ago. Honestly, the 1st year was awesome! No periods, no mood swings, and no weight gain! Actually improved my moods and I lost all my baby weight right away. I was also breastfeeding at the time. As soon as I stopped when my son was 12 mos old, I guess the hormones in my body changed and reacted differently with the shot. I started bleeding for weeks at a time. I would bleed light to moderate for about 3-4 weeks and then stop for about 2 weeks and start up again. I&#039;ve now gained about 10-15 lbs. and I&#039;m starting to break out a bit and I never break out. Also my moods are definitely off. I can really feel the difference. Up and down all the time. It was great while it lasted!""",6,15-Apr-11,2
187095,Safyral,Birth Control,"""So I&#039;ve been on this birth control for about three months. In the beginning I was hungry all the time and it really upset my stomach. After about three weeks that was gone and it was awesome. No babies. Easy periods almost no cramps it was too good to be true. Now here I am three months into the pill and I&#039;ve hit a horrible depression. I&#039;ve never been depressed. But everyday I cry and get so sad I can&#039;t go out and I don&#039;t want to eat or do anything. I&#039;ve diminished. So I&#039;ve decided to get off the pill immediately. I think I&#039;ll stick to the condoms. I would rather use condoms than be overwhelmingly sad all the time.""",5,12-Jul-15,2
131772,Effexor XR,Depression,"""Only the brand name version of Effexor works for me.  Luckily my medical insurance agreed with my doctor and authorized me to continue getting the brand name version.

I have found it to be very effective.  An Interesting &quot;good side effect&quot; is it helps with my serious face pain. A win win medicine.""",10,24-Dec-15,28
186353,Desvenlafaxine,Depression,"""Have developed visual problems, thinning hair on top of my head, insomnia, and loss of sexual interest.""",3,15-Jan-12,7
192633,Drospirenone / ethinyl estradiol,Birth Control,"""I switched to Gianvi from Aviane in hopes of clearing up my acne. I was VERY excited because Yaz is supposed to be a miracle. My experience was far from a miracle. My skin did not clear up AT ALL, and got worse. I&#039;m a freaking irrational hothead all month. I&#039;m usually very good at shrugging off the small stuff, but it&#039;s like I have absolutely no control over my emotions anymore. I&#039;ve become very lethargic; I could sleep all day if you&#039;d let me. My once raging sex drive is now hardly existent. On the bright side, it did work strictly as birth control (hence the 4 rating). I&#039;ve already made an appointment to switch.""",4,17-Jan-12,7
10545,Spironolactone,Acne,"""I went off the birth control pill at age 38 (after being on for almost 20 years) and within 2 months my skin went crazy. I started experiencing bad cystic acne to the point I had no less than 10 bumps at once and was spending a lot of time and money at the dermatologist on injections. I had never had a cyst before--just typical teen acne breakouts in high school and college. It was painful and I felt embarrassed to go anywhere in public. My self esteem plummeted. After 3 months my dermatologist recommended spironolactone. I started at 200 mg and within a month my face was totally clear. After 6 months I went down to 150, then another 6 months down to 100, which is the dosage I still take 2 years later. Best medication ever!""",10,12-Jan-15,82
53409,Demerol,Pain,"""I was given Demorol for pain in the ER about (3)days ago for terrible menstrual cramps and I can say it is definitely a 10 for pain, but the side effects are not the best. I have been drowsy, thirsty, and still a little dizzy, but I guess it depends on the individual.""",10,15-Sep-09,32
230601,Depo-Provera,Birth Control,"""I have been using this method of Birth Control for over ten years now, I am hesitant to change to another form. I have not had a period since starting Depo and never had a pregnancy scare. I have gained weight while on the shot but it could be just my eating habits and lack of exercise! I would recommend this form of birth control for anyone who cannot remember to take a pill or who does not want to worry about getting pregnant. Once every three months is easy to do and I have never been happier with any form of birth control.""",10,5-Sep-11,3
64109,Sertraline,Depression,"""I&#039;ve had depression on and off for years but more recently have felt worse. Having tried various antidepressants my Dr prescribed 50mg of sertraline. I started it a few days ago and have noticed that I have no appetite. I sleep for only a few hours a night. But it&#039;s early days..""",3,28-Apr-17,12
205505,Pristiq,Depression,"""I am a 47 yo male who has been on 100mg of Pristiq for 2 years.  First on 50mg then increased.  I found I was sleepy for the first few months but nothing compared to the original symptoms like depression, anxiety etc.  My only concern is the withdrawal effects.  On one occasion, I went to Pharmacy on Saturday and they advised I needed a new script.  I had to wait until Monday to get a script and they were the two worst days in my life....the withdrawal was chaotic, I argued with the chemist in a rage....never done this before...I called them an hour later sobbing and apologising for my behavior, I had awful flashes in my eyes and headaches that made a migraine feel like party.....I was frantic at the doctor on the Monday morning""",7,10-Nov-13,81
179764,Adapalene / benzoyl peroxide,Acne,"""I always had clear skin but then started getting breakouts on my cheeks and thought epiduo would help. Two weeks into it my forehead began to breakout horribly, and my cheeks remained the same. I stayed on it for 2 months and my forehead got continually worse and when on epiduo breakouts would not heal and left red scarring. A week ago I gave up and quit epiduo. MY FOREHEAD IS CLEAR and the marks are fading faster. My cheeks are still the same but I can live with my skin again. My skin hated epiduo and it only gave me more acne. If you can live with skin as is do not go on epiduo. It may eventually get better but you will go through hell first.""",2,12-Jan-16,1
